Nederlands,Engels
althans,at least
beleven,experience
besteden aan,spend on
bijdragen aan,contribute to
bitter,bitter
boeken,to book / books
creatief,creative
de aandacht,attention
de afstand,distance
de behoefte,need
de indruk,impression
de jeugd,youth
de jongere,the young boys
de keus,choice
de kroeg,pub / tavern
de mens,people
de onderzoeker,researcher
de reden,reason
de stage,internship
de tandarts,dentist
de uitdaging,challenge
de vergoeding,compensation
de voldoening,satisfaction
de volwassene,adult / grown up
de wereld,world
drijven,float
dromen,dream
een hekel hebben aan,dislike
gek (zijn op),crazy about
gemiddeld,mean / average
het bericht,message
het deel,share / part
het doel,goal
het gedrag,behaviour
het geheim,secret / confidential
het inkomen,income
het onderzoek,research
het resultaat,result
het tijdschrift,magazine
het toneel,stage / scene
jammer genoeg,unfortunately
koppelen,link
merken,notice
netjes,decently
ontdekken,discover
opvallen,stand out
overbrengen,transfer
per,per
persoonlijk,personal / in person
solliciteren,apply
uitkijken naar,looking forward to
uitmaken,break up
verdienen,deserve
verschillen,differences
vervolgens,thereafter
voorzien in,provide
zoet,sweet
zout,salt
zuur,sour
